date,location,category,channel,product_name,quantity,unit_price,revenue
2025-09-02,Chicago,Apparel,In-Store,Rain Jacket,9,11.33,101.97
2025-06-07,Austin,Grocery,Marketplace,Almond Butter,14,15.94,223.16
2024-01-02,Denver,Apparel,Online,Baseball Cap,2,69.66,139.32
2025-11-10,Seattle,Sports & Outdoors,Online,Bike Helmet,11,140.86,1549.46
2025-12-14,Miami,Apparel,Online,Rain Jacket,14,36.38,509.32
2026-07-13,Chicago,Beauty,Online,Perfume,13,41.93,545.09
2024-11-07,Denver,Home & Garden,Online,Patio Chair,18,151.73,2731.14
2025-04-21,Seattle,Beauty,Marketplace,Shampoo,20,40.66,813.2
2026-03-26,Atlanta,Books,Online,Poetry Collection,16,33.19,531.04
2026-04-18,Phoenix,Home & Garden,In-Store,LED Desk Lamp,20,66.98,1339.6
2024-09-07,Houston,Sports & Outdoors,Marketplace,Resistance Bands,5,15.13,75.65
2025-12-14,Los Angeles,Books,In-Store,Graphic Novel,19,13.42,254.98
2026-05-31,Seattle,Grocery,Online,Trail Mix,1,22.53,22.53
2025-07-24,Houston,Apparel,Online,Baseball Cap,17,48.42,823.14
2025-07-26,Boston,Sports & Outdoors,Online,Camping Tent,15,150.19,2252.85
2026-07-17,Denver,Toys,Marketplace,Toy Drone,17,41.85,711.45
2024-09-10,Austin,Books,Marketplace,Children's Picture Book,15,15.55,233.25
2025-12-31,Boston,Beauty,In-Store,Perfume,9,28.63,257.67
2024-06-03,Phoenix,Beauty,Online,Shampoo,18,8.51,153.18
2025-02-21,Austin,Sports & Outdoors,Online,Fishing Rod,7,23.49,164.43
2025-02-02,Boston,Toys,Online,Play Kitchen,7,75.96,531.72
2025-02-03,Seattle,Electronics,In-Store,Smart Watch,12,115.04,1380.48
2025-05-14,Austin,Grocery,In-Store,Honey,20,22.65,453.0
2025-11-26,Seattle,Sports & Outdoors,In-Store,Resistance Bands,13,80.59,1047.67
2026-07-17,Boston,Grocery,Wholesale,Pasta,20,14.28,285.6
2024-05-18,Denver,Grocery,In-Store,Dark Chocolate,3,16.78,50.34
2024-11-30,New York,Books,Online,Children's Picture Book,11,13.98,153.78
2024-03-24,Phoenix,Toys,Marketplace,Art Set,14,27.19,380.66
2024-03-11,Austin,Books,In-Store,Mystery Novel,12,14.4,172.8
2024-09-01,Houston,Electronics,Online,Wireless Earbuds,1,223.15,223.15
2024-09-19,Atlanta,Home & Garden,Online,Area Rug,7,89.06,623.42
2024-06-16,Denver,Toys,In-Store,Remote Control Car,4,71.33,285.32
2026-07-18,Denver,Beauty,Online,Moisturizer,10,36.24,362.4
2025-10-04,Austin,Grocery,Online,Green Tea,19,17.88,339.72
2026-03-26,Austin,Sports & Outdoors,Marketplace,Camping Tent,20,179.16,3583.2
2025-10-25,Miami,Electronics,Online,Laptop Stand,12,38.1,457.2
2025-01-05,Seattle,Toys,Marketplace,Building Blocks,4,42.42,169.68
2024-10-03,Seattle,Books,Online,Children's Picture Book,17,38.86,660.62
2026-05-22,Seattle,Books,Marketplace,Poetry Collection,19,15.86,301.34
2025-08-06,Phoenix,Sports & Outdoors,Marketplace,Camping Tent,8,167.6,1340.8
2024-08-05,New York,Grocery,In-Store,Almond Butter,11,6.18,67.98
2024-10-09,San Francisco,Toys,Online,Stuffed Bear,20,64.9,1298.0
2026-02-15,Houston,Electronics,Online,Portable SSD,14,178.67,2501.38
2024-04-05,Atlanta,Sports & Outdoors,In-Store,Sleeping Bag,15,176.52,2647.8
2025-01-12,Seattle,Beauty,In-Store,Shampoo,10,41.18,411.8
2025-12-20,Miami,Books,Online,History Book,18,17.92,322.56
2024-11-19,Phoenix,Books,Online,Sci-Fi Novel,4,30.8,123.2
2024-10-10,Austin,Apparel,Online,Graphic Hoodie,7,72.26,505.82
2024-01-15,Houston,Beauty,Online,Moisturizer,12,14.05,168.6
2026-08-24,New York,Home & Garden,Wholesale,Cutting Board,18,59.66,1073.88
2025-05-05,Los Angeles,Home & Garden,Marketplace,Area Rug,19,58.34,1108.46
2025-05-04,Chicago,Books,Wholesale,Biography,9,38.06,342.54
2024-02-24,Seattle,Apparel,In-Store,Denim Jeans,19,62.76,1192.44
2024-05-01,Denver,Home & Garden,Wholesale,Throw Pillow,3,178.97,536.91
2025-01-24,Denver,Grocery,Marketplace,Dark Chocolate,8,19.84,158.72
2025-09-27,Phoenix,Books,Marketplace,Poetry Collection,14,17.08,239.12
2024-09-27,Austin,Electronics,Online,Smart Watch,7,224.55,1571.85
2025-02-22,Houston,Apparel,Online,Running Shoes,3,21.62,64.86
2024-10-16,Boston,Books,Online,Graphic Novel,8,16.51,132.08
2025-10-02,Atlanta,Books,Online,Cookbook,9,33.0,297.0
2026-04-26,Los Angeles,Sports & Outdoors,In-Store,Fishing Rod,5,200.77,1003.85
2026-04-24,New York,Home & Garden,Online,LED Desk Lamp,10,111.16,1111.6
2026-08-23,Los Angeles,Beauty,In-Store,Makeup Brush Set,10,43.19,431.9
2026-06-29,Miami,Beauty,In-Store,Perfume,3,37.49,112.47
2025-11-21,Denver,Grocery,Online,Almond Butter,3,7.27,21.81
2025-10-29,Denver,Electronics,Online,4K Monitor,6,172.62,1035.72
2025-05-18,Chicago,Books,Wholesale,Sci-Fi Novel,14,27.95,391.3
2026-05-28,San Francisco,Apparel,Online,Leather Belt,11,66.3,729.3
2025-02-14,Seattle,Home & Garden,In-Store,Wall Clock,10,122.64,1226.4
2026-03-02,Los Angeles,Electronics,Online,Wireless Mouse,11,53.83,592.13
2024-02-25,New York,Grocery,In-Store,Honey,18,12.63,227.34
2026-02-17,San Francisco,Sports & Outdoors,In-Store,Dumbbell Set,16,141.34,2261.44
2025-12-16,Phoenix,Electronics,In-Store,USB-C Charger,10,161.77,1617.7
2025-12-27,New York,Books,Wholesale,Cookbook,20,33.38,667.6
2026-05-11,Miami,Home & Garden,Online,Cutting Board,14,25.85,361.9
2026-01-03,Los Angeles,Apparel,In-Store,Leather Belt,5,51.36,256.8
2024-09-06,Austin,Beauty,Online,Perfume,16,58.89,942.24
2026-06-19,Chicago,Books,Online,History Book,20,23.77,475.4
2026-03-17,Phoenix,Home & Garden,Marketplace,LED Desk Lamp,14,67.78,948.92
2025-11-06,Phoenix,Beauty,In-Store,Facial Cleanser,19,36.48,693.12
2026-02-20,Boston,Books,In-Store,Children's Picture Book,12,17.97,215.64
2024-08-27,San Francisco,Grocery,Marketplace,Trail Mix,8,15.15,121.2
2025-11-10,San Francisco,Grocery,In-Store,Organic Coffee,13,10.88,141.44
2024-04-12,New York,Home & Garden,Online,Area Rug,19,66.44,1262.36
2025-02-23,Miami,Books,Wholesale,Cookbook,1,30.84,30.84
2025-12-10,Boston,Home & Garden,Marketplace,LED Desk Lamp,9,67.56,608.04
2024-11-20,San Francisco,Grocery,Marketplace,Olive Oil,18,10.74,193.32
2026-08-01,New York,Books,In-Store,History Book,8,27.83,222.64
2025-12-21,Austin,Beauty,Online,Shampoo,4,46.58,186.32
2026-03-26,Chicago,Apparel,In-Store,Leather Belt,1,12.0,12.0
2025-02-25,San Francisco,Electronics,Online,4K Monitor,5,96.81,484.05
2024-09-03,Chicago,Home & Garden,Online,Throw Pillow,13,115.35,1499.55
2025-11-13,Chicago,Books,Online,Graphic Novel,9,22.17,199.53
2026-08-25,Phoenix,Electronics,In-Store,Wireless Mouse,6,39.74,238.44
2025-04-12,Phoenix,Toys,In-Store,Card Game,14,63.99,895.86
2025-08-08,Seattle,Beauty,Marketplace,Shampoo,4,17.28,69.12
2026-04-29,Phoenix,Toys,Wholesale,Card Game,10,7.84,78.4
2026-02-02,New York,Grocery,In-Store,Sparkling Water,2,22.94,45.88
2024-07-13,Houston,Books,In-Store,Sci-Fi Novel,12,14.23,170.76
2025-03-27,Atlanta,Beauty,Online,Lip Balm,2,21.3,42.6
2024-11-30,San Francisco,Electronics,In-Store,Smart Watch,3,319.73,959.19
2025-01-09,Houston,Grocery,Online,Pasta,18,22.16,398.88
2024-10-29,Phoenix,Beauty,Wholesale,Lip Balm,16,58.17,930.72
2024-08-19,Boston,Toys,Wholesale,Puzzle 500pc,5,69.35,346.75
2025-07-03,San Francisco,Grocery,Online,Honey,13,2.32,30.16
2026-04-22,San Francisco,Apparel,In-Store,Leather Belt,9,58.86,529.74
2026-08-23,Atlanta,Toys,Online,Puzzle 500pc,1,58.04,58.04
2024-11-05,Houston,Toys,In-Store,Card Game,15,82.39,1235.85
2025-05-19,Chicago,Grocery,Online,Olive Oil,2,9.0,18.0
2025-01-14,Houston,Apparel,Marketplace,Denim Jeans,5,41.81,209.05
2026-05-03,Austin,Grocery,In-Store,Dark Chocolate,14,17.06,238.84
2025-01-14,Seattle,Books,Wholesale,Graphic Novel,9,8.08,72.72
2025-12-03,Boston,Sports & Outdoors,Wholesale,Sleeping Bag,12,30.86,370.32
2024-05-05,Atlanta,Toys,Online,Play Kitchen,13,29.17,379.21
2024-02-21,Atlanta,Books,Online,Cookbook,20,39.05,781.0
2026-02-22,Chicago,Toys,Marketplace,Board Game,7,11.76,82.32
2024-05-31,Houston,Sports & Outdoors,Marketplace,Soccer Ball,8,79.0,632.0
2024-06-27,Chicago,Electronics,Wholesale,4K Monitor,18,98.97,1781.46
2024-01-17,Chicago,Apparel,Online,Cotton T-Shirt,8,59.23,473.84
2026-02-02,New York,Home & Garden,Online,Cutting Board,14,99.43,1392.02
2025-04-07,Boston,Apparel,Marketplace,Leather Belt,17,59.65,1014.05
2025-10-20,New York,Sports & Outdoors,In-Store,Soccer Ball,17,73.34,1246.78
2025-05-17,Boston,Electronics,Marketplace,Wireless Earbuds,14,244.84,3427.76
2024-10-08,Los Angeles,Books,Online,Cookbook,5,9.17,45.85
2025-03-16,Denver,Toys,In-Store,Art Set,15,48.47,727.05
2024-08-08,Atlanta,Apparel,In-Store,Denim Jeans,18,70.71,1272.78
2026-01-17,Houston,Grocery,Online,Trail Mix,15,11.17,167.55
2024-06-05,Seattle,Apparel,Online,Yoga Pants,9,40.56,365.04
2026-02-01,Los Angeles,Books,Marketplace,Cookbook,3,21.25,63.75
2025-11-17,Miami,Toys,Online,Remote Control Car,18,53.18,957.24
2026-01-08,San Francisco,Apparel,Marketplace,Baseball Cap,14,83.52,1169.28
2024-08-05,Denver,Electronics,Online,4K Monitor,4,208.6,834.4
2025-01-11,Houston,Home & Garden,Marketplace,Area Rug,12,153.71,1844.52
2026-02-24,Denver,Apparel,Online,Rain Jacket,14,81.53,1141.42
2024-10-06,Atlanta,Electronics,Marketplace,Smart Watch,9,24.7,222.3
2025-02-14,San Francisco,Beauty,Online,Nail Polish,5,35.71,178.55
2025-06-27,Austin,Apparel,In-Store,Running Shoes,1,15.98,15.98
2026-01-08,Seattle,Sports & Outdoors,In-Store,Fishing Rod,6,87.71,526.26
2026-02-11,Denver,Toys,Online,Card Game,2,19.07,38.14
2025-03-28,Phoenix,Electronics,Online,Bluetooth Speaker,14,177.7,2487.8
2024-04-23,Houston,Grocery,Marketplace,Sparkling Water,4,9.94,39.76
2025-02-08,Boston,Beauty,In-Store,Face Mask,10,6.54,65.4
2026-02-21,Houston,Electronics,Online,Wireless Earbuds,7,272.06,1904.42
2024-06-28,San Francisco,Beauty,Online,Hair Dryer,16,45.83,733.28
2025-11-15,Miami,Home & Garden,In-Store,Storage Bin,17,104.98,1784.66
2025-04-15,Seattle,Toys,Marketplace,Puzzle 500pc,2,42.64,85.28
2025-03-03,Denver,Apparel,Online,Yoga Pants,13,69.73,906.49
2026-08-28,Seattle,Beauty,Online,Moisturizer,11,13.62,149.82
2025-08-26,Los Angeles,Books,Online,Biography,4,15.03,60.12
2024-08-14,Los Angeles,Grocery,Online,Honey,10,19.15,191.5
2024-07-17,Los Angeles,Toys,In-Store,Remote Control Car,4,50.57,202.28
2024-05-29,Austin,Toys,Wholesale,Action Figure,5,25.85,129.25
2026-03-02,Chicago,Beauty,In-Store,Shampoo,3,13.92,41.76
2026-06-22,Denver,Books,Marketplace,Poetry Collection,15,29.48,442.2
2024-11-06,Chicago,Toys,Online,Action Figure,16,43.15,690.4
2025-04-07,New York,Beauty,Online,Face Mask,3,21.38,64.14
2026-05-25,San Francisco,Electronics,Marketplace,Wireless Earbuds,3,230.96,692.88
2026-09-04,Denver,Apparel,In-Store,Ankle Socks,15,58.49,877.35
2025-05-28,Denver,Electronics,In-Store,Wireless Mouse,11,217.68,2394.48
2024-03-27,Boston,Home & Garden,Online,Ceramic Planter,11,177.01,1947.11
2025-09-16,Houston,Home & Garden,In-Store,Ceramic Planter,15,99.09,1486.35
2024-12-12,San Francisco,Home & Garden,Wholesale,Wall Clock,13,79.49,1033.37
2024-10-17,Los Angeles,Electronics,Online,Laptop Stand,18,242.26,4360.68
2026-07-27,Chicago,Beauty,Online,Face Mask,19,41.16,782.04
2025-12-26,Atlanta,Toys,In-Store,Stuffed Bear,13,16.83,218.79
2025-11-17,Miami,Apparel,Online,Rain Jacket,11,78.75,866.25
2026-08-31,Miami,Apparel,Online,Baseball Cap,12,34.87,418.44
2024-10-29,Boston,Sports & Outdoors,Online,Bike Helmet,5,42.54,212.7
2024-12-10,Miami,Apparel,Marketplace,Graphic Hoodie,17,11.28,191.76
2026-02-28,Seattle,Home & Garden,Online,Patio Chair,6,151.33,907.98
2025-09-17,New York,Home & Garden,Online,Area Rug,8,174.83,1398.64
2026-03-14,Houston,Beauty,In-Store,Makeup Brush Set,10,58.07,580.7
2025-04-17,San Francisco,Books,In-Store,Self-Help Guide,19,39.49,750.31
2026-03-31,Miami,Beauty,In-Store,Sunscreen SPF50,6,49.75,298.5
2024-04-15,New York,Home & Garden,In-Store,Cutting Board,12,104.27,1251.24
2025-06-09,Los Angeles,Apparel,Marketplace,Rain Jacket,9,47.09,423.81
2026-06-24,Los Angeles,Home & Garden,Wholesale,Storage Bin,8,148.84,1190.72
2025-01-30,Seattle,Toys,Online,Building Blocks,17,37.41,635.97
2025-10-27,Houston,Apparel,Online,Yoga Pants,4,81.01,324.04
2024-05-22,Chicago,Toys,Online,Remote Control Car,16,64.47,1031.52
2024-08-08,Denver,Books,Online,Poetry Collection,3,7.63,22.89
2024-10-22,Austin,Home & Garden,In-Store,Candle Set,14,28.9,404.6
2025-09-29,Los Angeles,Sports & Outdoors,Online,Resistance Bands,14,144.18,2018.52
2024-01-17,Los Angeles,Books,Marketplace,Cookbook,16,26.69,427.04
2025-08-07,Phoenix,Sports & Outdoors,Online,Water Bottle,20,84.09,1681.8
2024-03-10,Atlanta,Grocery,In-Store,Pasta,17,24.42,415.14
2024-09-16,Boston,Electronics,Online,Mechanical Keyboard,13,343.65,4467.45
2026-01-22,Los Angeles,Electronics,Online,Laptop Stand,4,273.45,1093.8
2024-06-28,New York,Toys,Online,Remote Control Car,11,74.33,817.63
2026-03-05,Atlanta,Books,Online,Poetry Collection,5,9.08,45.4
2024-11-19,Phoenix,Books,Online,Mystery Novel,7,36.23,253.61
2024-02-07,Seattle,Beauty,Wholesale,Perfume,18,30.51,549.18
2024-12-05,San Francisco,Sports & Outdoors,Marketplace,Resistance Bands,2,191.82,383.64
2026-07-05,San Francisco,Beauty,Online,Moisturizer,13,45.63,593.19
2026-03-27,Chicago,Grocery,In-Store,Almond Butter,16,10.45,167.2
2026-04-22,Austin,Beauty,Online,Moisturizer,14,37.74,528.36
2024-10-29,Phoenix,Home & Garden,Online,Candle Set,3,65.75,197.25
2024-12-25,Denver,Beauty,In-Store,Makeup Brush Set,6,42.63,255.78
2025-03-21,Austin,Books,Marketplace,Mystery Novel,12,27.29,327.48
2026-03-31,Los Angeles,Beauty,In-Store,Facial Cleanser,13,24.35,316.55
2024-03-09,Chicago,Home & Garden,Marketplace,Ceramic Planter,15,15.92,238.8
2024-06-06,San Francisco,Sports & Outdoors,Online,Bike Helmet,19,16.8,319.2
2025-06-26,San Francisco,Books,Online,Biography,3,25.94,77.82
2024-01-27,San Francisco,Toys,In-Store,Art Set,8,86.68,693.44
2026-03-04,Miami,Home & Garden,Online,Area Rug,18,30.02,540.36
2025-05-17,Houston,Beauty,Wholesale,Makeup Brush Set,10,42.86,428.6
2025-12-31,Chicago,Sports & Outdoors,Marketplace,Camping Tent,15,46.26,693.9
2025-12-27,Atlanta,Books,Wholesale,Cookbook,11,29.04,319.44
2025-12-29,Miami,Apparel,Online,Graphic Hoodie,10,82.07,820.7
2024-08-30,Miami,Home & Garden,Online,Wall Clock,7,144.65,1012.55
2025-07-18,San Francisco,Books,In-Store,Mystery Novel,12,22.42,269.04
2026-01-06,Los Angeles,Home & Garden,Online,Patio Chair,13,179.93,2339.09
2024-11-20,Seattle,Books,Marketplace,History Book,19,9.43,179.17
2026-04-28,Boston,Apparel,In-Store,Leather Belt,12,19.17,230.04
2025-06-14,Seattle,Home & Garden,In-Store,Throw Pillow,2,151.34,302.68
2026-08-21,Chicago,Home & Garden,Online,Cutting Board,8,68.82,550.56
2025-10-02,Phoenix,Beauty,Online,Moisturizer,18,19.37,348.66
2025-08-17,Miami,Beauty,Online,Face Mask,6,37.14,222.84
2026-08-04,Atlanta,Home & Garden,In-Store,Throw Pillow,20,67.4,1348.0
2024-08-03,Los Angeles,Electronics,Online,Wireless Earbuds,19,103.66,1969.54
2026-09-06,Atlanta,Grocery,Online,Dark Chocolate,18,8.66,155.88
2024-03-15,Houston,Beauty,Marketplace,Makeup Brush Set,13,20.66,268.58
2025-09-13,Boston,Electronics,Online,Smartphone Case,15,83.35,1250.25
2024-05-13,Austin,Home & Garden,Online,Wall Clock,12,175.81,2109.72
2024-09-30,Miami,Toys,Online,Play Kitchen,8,45.18,361.44
2026-06-03,Chicago,Books,Online,Self-Help Guide,10,38.2,382.0
2024-07-13,Chicago,Grocery,Marketplace,Granola Bars,19,18.59,353.21
2024-04-02,Miami,Home & Garden,In-Store,Area Rug,10,94.55,945.5
2024-02-19,Boston,Grocery,Wholesale,Honey,7,15.42,107.94
2024-01-09,Boston,Electronics,In-Store,4K Monitor,16,110.73,1771.68
2025-01-09,Chicago,Apparel,Marketplace,Baseball Cap,12,74.46,893.52
2024-10-22,New York,Electronics,In-Store,Mechanical Keyboard,7,136.45,955.15
2025-09-30,Miami,Apparel,In-Store,Baseball Cap,18,32.34,582.12
2025-01-09,Los Angeles,Apparel,Online,Running Shoes,11,56.53,621.83
2024-02-09,Denver,Home & Garden,In-Store,Garden Hose,17,16.84,286.28
2025-06-11,Boston,Home & Garden,In-Store,Wall Clock,5,113.06,565.3
2026-01-27,Denver,Home & Garden,Online,Wall Clock,13,178.4,2319.2
2025-12-26,San Francisco,Beauty,In-Store,Face Mask,17,33.81,574.77
2025-08-20,New York,Beauty,Online,Makeup Brush Set,4,58.87,235.48
2026-01-08,Denver,Beauty,In-Store,Facial Cleanser,19,36.35,690.65
2025-01-24,Boston,Electronics,Online,Smart Watch,20,274.49,5489.8
2025-03-27,New York,Home & Garden,In-Store,Garden Hose,4,42.43,169.72
2026-03-04,Chicago,Toys,Online,Art Set,7,40.47,283.29
2025-11-09,Austin,Books,Online,Mystery Novel,7,25.51,178.57
2025-06-29,Seattle,Books,Online,History Book,6,22.17,133.02
2024-07-15,San Francisco,Toys,In-Store,Play Kitchen,9,57.25,515.25
2025-12-22,Miami,Sports & Outdoors,Online,Resistance Bands,10,171.95,1719.5
2026-03-25,San Francisco,Sports & Outdoors,In-Store,Sleeping Bag,18,206.08,3709.44
2025-02-08,Los Angeles,Beauty,In-Store,Hair Dryer,18,25.26,454.68
2025-03-28,Phoenix,Toys,Online,Remote Control Car,3,35.09,105.27
2025-07-29,Houston,Beauty,Online,Makeup Brush Set,18,19.18,345.24
2024-02-21,Los Angeles,Beauty,In-Store,Lip Balm,19,17.4,330.6
2024-04-12,New York,Sports & Outdoors,Online,Hiking Backpack,11,160.65,1767.15
2026-08-15,Miami,Home & Garden,Wholesale,Ceramic Planter,6,79.17,475.02
2025-10-23,Atlanta,Books,Online,Poetry Collection,10,17.6,176.0
2026-05-20,Atlanta,Electronics,In-Store,Bluetooth Speaker,18,262.46,4724.28
2024-02-07,Seattle,Electronics,Marketplace,Smartphone Case,6,327.86,1967.16
2024-01-10,Chicago,Grocery,Wholesale,Trail Mix,10,22.17,221.7
2025-10-18,Denver,Beauty,Online,Face Mask,11,19.94,219.34
2024-12-04,Miami,Books,In-Store,Children's Picture Book,7,33.69,235.83
2024-12-11,Atlanta,Home & Garden,Online,Area Rug,6,12.39,74.34
2025-10-16,Atlanta,Beauty,Marketplace,Face Mask,6,38.21,229.26
2024-07-08,Miami,Grocery,Online,Green Tea,13,17.39,226.07
2024-08-29,San Francisco,Home & Garden,Wholesale,Area Rug,1,54.33,54.33
2025-10-31,San Francisco,Books,Online,Sci-Fi Novel,19,7.38,140.22
2025-02-19,New York,Toys,In-Store,Board Game,15,31.77,476.55
2024-08-14,Atlanta,Beauty,Wholesale,Moisturizer,10,24.58,245.8
2025-12-19,Boston,Sports & Outdoors,Online,Water Bottle,20,88.46,1769.2
2025-09-02,Atlanta,Books,Marketplace,History Book,8,29.45,235.6
2025-07-31,Boston,Apparel,In-Store,Graphic Hoodie,12,14.79,177.48
2024-06-02,Miami,Apparel,Wholesale,Cotton T-Shirt,7,57.83,404.81
2025-05-15,Miami,Home & Garden,Online,Wall Clock,7,131.88,923.16
2025-03-01,Boston,Apparel,Marketplace,Graphic Hoodie,15,19.48,292.2
2025-02-09,New York,Books,In-Store,Graphic Novel,10,30.87,308.7
2024-12-18,Austin,Beauty,Online,Facial Cleanser,3,6.54,19.62
2025-04-28,New York,Apparel,Wholesale,Graphic Hoodie,3,93.79,281.37
2026-01-16,Seattle,Electronics,Online,4K Monitor,5,271.55,1357.75
2025-11-30,Seattle,Grocery,Online,Almond Butter,13,10.64,138.32
2024-05-10,Los Angeles,Home & Garden,Online,Wall Clock,18,76.82,1382.76
2025-07-11,New York,Sports & Outdoors,Wholesale,Yoga Mat,15,151.43,2271.45
2024-06-07,Seattle,Grocery,Marketplace,Honey,8,12.59,100.72
2025-03-05,Austin,Beauty,Marketplace,Shampoo,2,49.33,98.66
2025-09-04,Houston,Electronics,Online,USB-C Charger,20,26.25,525.0
2024-08-10,Austin,Electronics,Online,USB-C Charger,15,93.5,1402.5
2026-01-19,Miami,Electronics,Wholesale,Smartphone Case,8,288.29,2306.32
2026-06-16,Denver,Toys,Marketplace,Card Game,11,25.9,284.9
2026-08-29,Houston,Home & Garden,Online,Candle Set,9,20.36,183.24
2025-11-18,Miami,Home & Garden,In-Store,Storage Bin,12,170.07,2040.84
2025-01-20,San Francisco,Grocery,In-Store,Honey,14,5.43,76.02
2025-12-25,Boston,Home & Garden,Online,Candle Set,8,61.13,489.04
2024-05-17,New York,Home & Garden,In-Store,Area Rug,14,104.74,1466.36
2026-05-17,Phoenix,Grocery,Online,Granola Bars,3,23.21,69.63
